2020-08-06 22:40:56 install libbz2-1.0:armhf <none> 1.0.6-8.1
2020-08-06 22:40:56 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2020-08-06 22:40:56 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-08-06 22:40:56 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-08-06 22:40:57 install libc-bin:armhf <none> 2.27-3ubuntu1
2020-08-06 22:40:57 status half-installed libc-bin:armhf 2.27-3ubuntu1
2020-08-06 22:40:57 status unpacked libc-bin:armhf 2.27-3ubuntu1
2020-08-06 22:40:57 status unpacked libc-bin:armhf 2.27-3ubuntu1
2020-08-06 22:40:57 upgrade libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2020-08-06 22:40:57 status half-configured libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:57 status unpacked libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:57 status half-installed libc6:armhf 2.27-3ubuntu1
2020-08-06 22:41:00 status half-installed libc6:armhf 2.27-3ubuntu1
2020-08-06 22:41:00 status unpacked libc6:armhf 2.27-3ubuntu1
2020-08-06 22:41:00 status unpacked libc6:armhf 2.27-3ubuntu1
2020-08-06 22:41:00 install libcap-ng0:armhf <none> 0.7.7-3.1
2020-08-06 22:41:00 status half-installed libcap-ng0:armhf 0.7.7-3.1
2020-08-06 22:41:00 status unpacked libcap-ng0:armhf 0.7.7-3.1
2020-08-06 22:41:00 status unpacked libcap-ng0:armhf 0.7.7-3.1
2020-08-06 22:41:00 install libcom-err2:armhf <none> 1.44.1-1
2020-08-06 22:41:00 status half-installed libcom-err2:armhf 1.44.1-1
2020-08-06 22:41:00 status unpacked libcom-err2:armhf 1.44.1-1
2020-08-06 22:41:00 status unpacked libcom-err2:armhf 1.44.1-1
2020-08-06 22:41:00 install libdb5.3:armhf <none> 5.3.28-13.1ubuntu1
2020-08-06 22:41:00 status half-installed libdb5.3:armhf 5.3.28-13.1ubuntu1
2020-08-06 22:41:01 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2020-08-06 22:41:01 status unpacked libdb5.3:armhf 5.3.28-13.1ubuntu1
2020-08-06 22:41:01 install libdebconfclient0:armhf <none> 0.213ubuntu1
2020-08-06 22:41:01 status half-installed libdebconfclient0:armhf 0.213ubuntu1
2020-08-06 22:41:01 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2020-08-06 22:41:01 status unpacked libdebconfclient0:armhf 0.213ubuntu1
2020-08-06 22:41:01 install libext2fs2:armhf <none> 1.44.1-1
2020-08-06 22:41:01 status half-installed libext2fs2:armhf 1.44.1-1
2020-08-06 22:41:01 status unpacked libext2fs2:armhf 1.44.1-1
2020-08-06 22:41:01 status unpacked libext2fs2:armhf 1.44.1-1
2020-08-06 22:41:01 install libfdisk1:armhf <none> 2.31.1-0.4ubuntu3
2020-08-06 22:41:01 status half-installed libfdisk1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:01 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:01 status unpacked libfdisk1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:02 install libgcc1:armhf <none> 1:8-20180414-1ubuntu2
2020-08-06 22:41:02 status half-installed libgcc1:armhf 1:8-20180414-1ubuntu2
2020-08-06 22:41:02 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2020-08-06 22:41:02 status unpacked libgcc1:armhf 1:8-20180414-1ubuntu2
2020-08-06 22:41:02 install libgcrypt20:armhf <none> 1.8.1-4ubuntu1
2020-08-06 22:41:02 status half-installed libgcrypt20:armhf 1.8.1-4ubuntu1
2020-08-06 22:41:02 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2020-08-06 22:41:02 status unpacked libgcrypt20:armhf 1.8.1-4ubuntu1
2020-08-06 22:41:02 install libgpg-error0:armhf <none> 1.27-6
